subpop,treatment,cate1,cate2,score,size_group1,size_group2,support,avg_group1,avg_group2
"{'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 3),)",-0.1252704713378062,-0.1409494960905754,0.0156790247527691,692,626,0.09742755765819042,0.4725433526011561,0.46645367412140576
"{'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 3),)",-0.1316776020245059,-0.1407615839973101,0.0090839819728042,680,613,0.09557953873447664,0.47058823529411764,0.466557911908646
"{'Age': '<30.00', 'IsDiagnosedAsthma': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 3),)",-0.1397164488495755,-0.1735613349840999,0.0338448861345244,572,576,0.08486102897693672,0.493006993006993,0.4895833333333333
"{'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried', 'Age': '<30.00'}","(('HoldHealthInsurance', 3),)",-0.1416724767368278,-0.1848998747732846,0.0432273980364568,567,572,0.08419574216439976,0.49206349206349204,0.48951048951048953
"{'Age': '<30.00', 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.220996062956819,0.1973406760743133,0.0236553868825056,479,460,0.06941159077468953,0.4906054279749478,0.48043478260869565
"{'IsDiagnosedDiabetes': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried', 'Race': 'White', 'Age': '<30.00'}","(('HoldHealthInsurance', 2),)",-0.1329410333760975,-0.1668306831344657,0.0338896497583682,476,458,0.06904198698994678,0.4894957983193277,0.4781659388646288
"{'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried', 'Age': '<30.00'}","(('HoldHealthInsurance', 1),)",0.2122475997288205,0.1959191326946295,0.0163284670341909,436,403,0.062019515079834414,0.4954128440366973,0.46898263027295284
"{'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried', 'Age': '<30.00'}","(('HoldHealthInsurance', 1),)",0.2117797831471689,0.202765177471387,0.0090146056757818,433,402,0.06172383205204021,0.4942263279445728,0.46766169154228854
"{'Region': 'South', 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('CurrentlySmoke', 0),)",-0.1256491706707059,-0.1840388112165014,0.0583896405457954,426,371,0.05891484328799527,0.460093896713615,0.4123989218328841
"{'Region': 'South', 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried', 'IsDiagnosedDiabetes': 0.0}","(('CurrentlySmoke', 0),)",-0.1306654567774934,-0.2073261040911048,0.0766606473136114,421,362,0.05787995269071555,0.46080760095011875,0.4171270718232044
"{'Region': 'South', 'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedAsthma': 0.0, 'MaritalStatus': 'NeverMarried'}","(('CurrentlySmoke', 0),)",-0.1266725266788207,-0.1838357077630598,0.057163181084239,394,335,0.05388823181549379,0.46446700507614214,0.408955223880597
"{'IsDiagnosedDiabetes': 0.0, 'Region': 'South', 'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('CurrentlySmoke', 0),)",-0.1312520438088262,-0.1936709772732063,0.0624189334643801,389,329,0.05307510348905973,0.4652956298200514,0.4133738601823708
"{'IsBornInUSA': 1.0, 'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried', 'Age': '<30.00'}","(('IsWorking', 'ActivelyWorking'),)",0.1341255176456375,0.1323893033503437,0.0017362142952937,364,346,0.05248373743347132,0.510989010989011,0.49710982658959535
